# Alcala 2017 Table B.1 Revisted Lacc - Lline fits: log(Lacc/Lsun) = a * log(Lline/Lsun) + b,,,,,
# CIV is from Yang2015,,,,,
# PfB is from Salyk2013,,,,,
Diagnostic,wavelength,a,a_err,b,b_err
Ha,656.28,1.13,0.05,1.74,0.19
Hb,486.1325,1.14,0.04,2.59,0.16
Hg,434.0464,1.11,0.03,2.69,0.17
Hd,410.1734,1.07,0.04,2.64,0.18
Hep,397.0072,1.06,0.04,2.69,0.18
H8,388.9049,1.06,0.04,2.73,0.18
H9,383.5384,1.04,0.04,2.78,0.19
H10,379.7898,1.04,0.04,2.83,0.19
H11,377.063,1.06,0.03,3.02,0.18
H12,375.0151,1.04,0.03,3.07,0.18
H13,373.4368,1.03,0.04,3.13,0.2
H14,372.1938,1.03,0.04,3.25,0.21
H15,371.1977,1.05,0.04,3.43,0.23
PaB,1281.807,1.06,0.07,2.76,0.34
PaG,1093.8086,1.24,0.06,3.58,0.27
PaD,1004.9368,1.22,0.09,3.74,0.43
Pa8,954.5969,1.09,0.12,3.19,0.59
Pa9,922.9014,1.18,0.08,3.71,0.43
Pa10,901.4909,1.15,0.1,3.6,0.52
BrG,2166.121,1.19,0.1,4.02,0.51
PfB,4653.8,0.91,0.16,3.29,0.67
HeI 402.6,402.6191,1.05,0.04,3.66,0.22
HeI 447.1,447.148,1.06,0.04,3.52,0.22
HeI 471.3,471.3146,0.84,0.08,2.89,0.46
HeIFeI,492.1931,0.97,0.04,3.08,0.24
HeI 501.6,501.5678,0.99,0.04,3.49,0.24
HeI 587.6,587.5621,1.15,0.04,3.67,0.21
HeI 667.8,667.8151,1.25,0.06,4.7,0.33
HeI 706.5,706.519,1.18,0.05,4.47,0.29
HeII,468.5804,1.04,0.05,3.85,0.33
CaII K,393.366,1.03,0.04,2.5,0.18
CaII H,396.847,1.06,0.03,2.65,0.16
CaII 849.8,849.802,0.99,0.05,2.6,0.29
CaII 854.2,854.209,0.97,0.06,2.43,0.29
CaII 866.2,866.214,0.93,0.06,2.3,0.3
NaI 589.0,588.995,1.01,0.06,3.14,0.36
NaI 589.6,589.592,1.01,0.06,3.33,0.38
OI 777.3,777.3055,1.27,0.09,4.66,0.49
OI 844.6,844.636,1.08,0.12,3.46,0.62
CIV 154.9,154.9,1.14,,3.15,